Stock,Date,Actual,Predicted
GOOGL,1069,141.4368438720703,142.1867239379883
GOOGL,1449,131.43690490722656,133.03362030029297
GOOGL,809,100.30908966064452,101.61014328002929
GOOGL,1321,100.1334228515625,100.1291072845459
GOOGL,58,50.94259262084961,51.34906509399414
GOOGL,521,71.0496826171875,71.17243034362792
GOOGL,939,139.23150634765625,138.516474609375
GOOGL,1366,125.0650405883789,125.15588073730468
GOOGL,253,52.33853912353516,51.53112007141113
GOOGL,101,53.86550521850586,53.468195037841795
GOOGL,1512,137.8782501220703,137.17222106933593
GOOGL,826,111.87618255615234,111.61378402709961
GOOGL,300,59.4135856628418,59.231389350891114
GOOGL,1554,131.6750946044922,130.99923156738282
GOOGL,424,59.86368942260742,60.00348083496094
GOOGL,1282,106.93205261230467,106.55196105957032
GOOGL,1523,145.2823028564453,144.4775503540039
GOOGL,1859,170.39942932128906,173.4925471496582
GOOGL,766,85.89698791503906,86.5889086151123
GOOGL,1542,141.69935607910156,140.59313369750976
GOOGL,497,67.31338500976562,67.30626976013184
GOOGL,1288,93.8608169555664,94.386859664917
GOOGL,988,139.99375915527344,142.20556106567383
GOOGL,72,51.41353225708008,51.738736686706545
GOOGL,277,55.72347259521485,56.222592468261716
GOOGL,1796,178.95912170410156,182.6069679260254
GOOGL,1949,244.7399139404297,242.14191040039063
GOOGL,67,50.11882019042969,51.07541458129883
GOOGL,587,66.83004760742188,66.79192108154297
GOOGL,1109,105.0115737915039,104.1353466796875
GOOGL,1249,94.35707092285156,94.96825843811035
GOOGL,1231,97.62239837646484,97.60393333435059
GOOGL,396,61.62636947631836,61.244730682373046
GOOGL,1503,135.62527465820312,135.8616630554199
GOOGL,1494,129.04498291015625,129.46969863891601
GOOGL,113,56.97898483276367,56.90628677368164
GOOGL,354,55.57707214355469,55.57612838745117
GOOGL,1135,112.41362762451172,108.7248819732666
GOOGL,859,116.9587860107422,116.98935470581054
GOOGL,676,78.46762084960938,78.63457901000976
GOOGL,572,59.89743423461914,59.24984157562256
GOOGL,924,143.61239624023438,143.6859844970703
GOOGL,1404,131.7247314453125,133.0199024963379
GOOGL,1172,115.7752456665039,114.53301963806152
GOOGL,1809,166.64979553222656,165.93390808105468
GOOGL,1659,158.2371826171875,156.8102947998047
GOOGL,413,59.13220977783203,59.12262191772461
GOOGL,1443,130.12681579589844,129.18754112243653
GOOGL,537,75.67174530029297,76.13070922851563
GOOGL,1336,104.61952209472656,104.812015914917
GOOGL,1457,136.32992553710938,137.2442610168457
GOOGL,1001,140.54507446289062,139.70225509643555
GOOGL,71,51.475563049316406,50.99275226593018
GOOGL,1031,146.89013671875,146.09131225585938
GOOGL,883,124.31819152832033,123.35097541809083
GOOGL,746,87.3936767578125,86.44804306030274
GOOGL,1947,243.89047241210935,248.09491577148438
GOOGL,1251,89.5831298828125,89.797739944458
GOOGL,1514,134.71214294433594,134.89152069091796
GOOGL,1346,104.77832794189452,103.95515357971192
GOOGL,1731,174.69482421875,175.24339553833008
GOOGL,590,66.9451904296875,67.32179817199707
GOOGL,722,86.23444366455078,86.42706504821777
GOOGL,1291,96.21304321289062,95.24479064941406
GOOGL,1742,170.6254425048828,169.93755569458008
GOOGL,1253,88.35243225097656,87.67885131835938
GOOGL,1089,113.43739318847656,114.67292053222656
GOOGL,1915,201.6476287841797,202.21216186523438
GOOGL,1547,142.8804473876953,143.05670959472656
GOOGL,1376,122.17687225341795,122.4204956817627
GOOGL,875,121.4131317138672,121.10563064575196
GOOGL,1943,251.49549865722656,251.75502502441407
GOOGL,1012,136.74180603027344,138.3171144104004
GOOGL,488,66.46729278564453,66.6789697265625
GOOGL,130,57.320899963378906,56.99152263641358
GOOGL,1553,132.34999084472656,134.2369172668457
GOOGL,1684,147.91053771972656,150.12344680786134
GOOGL,1491,130.8711700439453,129.7316357421875
GOOGL,1528,151.04872131347656,150.90301712036134
GOOGL,1646,179.86874389648438,181.16385787963867
GOOGL,363,53.64665985107422,54.35097389221191
GOOGL,1623,176.6592559814453,177.44006561279298
GOOGL,1978,291.1195678710937,287.85121856689454
GOOGL,258,53.67693328857422,53.54710807800293
GOOGL,1263,85.55358123779297,85.96124008178711
GOOGL,1194,96.76883697509766,97.75101821899415
GOOGL,546,66.3844223022461,68.58244163513183
GOOGL,344,55.82123565673828,56.330323486328126
GOOGL,1946,246.3788299560547,249.42754501342773
GOOGL,672,80.8655014038086,81.26690475463867
GOOGL,1063,135.08087158203125,134.70156661987303
GOOGL,1576,151.3563995361328,150.57545623779296
GOOGL,1830,152.39913940429688,152.78613891601563
GOOGL,309,59.420040130615234,59.38365032196045
GOOGL,1325,103.68657684326172,104.23179153442383
GOOGL,767,85.73322296142578,85.96115592956544
GOOGL,1421,131.37734985351562,131.56639450073243
GOOGL,1388,118.5840072631836,118.8837587738037
GOOGL,235,52.72512435913086,53.25788372039795
GOOGL,233,55.06643295288086,54.64341846466064
GOOGL,1810,162.311767578125,163.01609283447266
GOOGL,557,54.15035629272461,53.477335662841796
GOOGL,1880,166.51206970214844,167.04127059936525
GOOGL,890,127.27533721923828,127.9332583618164
GOOGL,1045,126.63121032714844,127.63335205078126
GOOGL,1603,169.06259155273438,168.6887565612793
GOOGL,808,103.33026885986328,102.89503875732422
